inventoryid,vendorid,vpl_name,code,category,sub_category,part_no,display_website,product_name,cost,usd_cpu,commission_price,markup_perc,current_inventory,write_offs,min_max,status,note,description,comment,question,request,quote_description,size,weight,type,name,usd_invoice,shipping_rate,shipping_cash,exchange_rate,exchange_cash,location,id_number,operator,lsd,quantity,inv_variance,average_cost,asset,revenue,buying_units,selling_units,stocking_units,preferred_price,web_price,cdn_cpu,cogs_total,date_of_purchase,purchase_cost,sell_price,markup,freight_charge,min_bin,current_stock,final_retail_price,admin_price,wholesale_price,commercial_price,client_price,minimum_billable,estimated_hours,actual_hours,msrp,unit_price,unit_cost,rent_price,rental_days,rental_weeks,rental_months,rental_years,reminder_alert,daily,weekly,monthly,annually,total_days,total_hours,total_km,total_miles,deleted,purchase_order_price,sales_order_price,include_in_pos,include_in_so,include_in_po
1,7865,,,"Profile Max","Profile Wash System (208VAC 3 Phase 60 Hz)",WW9000-MAX,No,,,98490.00,,,,,,,,,,,,,,,,"Washworld Profile MAX Base Wash System (Includes Standard Features Listed Above in Addition to the High Pressure Pump Stand and Extended Solution Delivery System w/ Bug A'Salt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2,7865,,,"Profile Max","Profile Wash System (208VAC 3 Phase 60 Hz)",WW9040,No,,,0.00,,,,,,,,,,,,,,,,"Stainless Steel Machine Travel Rails (34' 0"" Overall Length)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
3,7865,,,"Profile Max","Profile MAX Mounting Options (Choose One)",WW9080,No,,,0.00,,,,,,,,,,,,,,,,"SS Wall Mount for Bays 15'-4"" to 16'-0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
4,0,,,"Profile Max",,,,,0.00,0.00,0.00,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0000-00-00,,,,,0,0,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,0,,,,,
5,7354,,,"Profile Max","Profile MAX Mounting Options (Choose One)",WW9082,No,,,995.00,,,,,,,,,,,,,,,,"SS Wall Mount for Bays 16'-8"" to 18'-0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
6,7354,,,"Profile Max","Profile MAX Mounting Options (Choose One)",WW9084,No,,,0.00,,,,,,,,,,,,,,,,"1/2 SS Wall Mount Kit for Offset Wall Mount Kit, 15'-4"" to 16'-0"" (Must also pick WW9085 or 9086)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
7,7354,,,"Profile Max","Profile MAX Mounting Options (Choose One)",WW9085,No,,,0.00,,,,,,,,,,,,,,,,"1/2 SS Wall Mount Kit for Offset Wall Mount Kit, 16'-0"" to 16'-8"" (Must also pick WW9084 or 9086)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
8,7354,,,"Profile Max","Profile MAX Mounting Options (Choose One)",WW9086,No,,,498.00,,,,,,,,,,,,,,,,"1/2 SS Wall Mount Kit for Offset Wall Mount Kit, 16'-8"" to 18'-0"" (Must also pick WW9084 or 9085)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
9,7354,,,"Profile Max","Profile MAX Mounting Options (Choose One)",WW9083,No,,,0.00,,,,,,,,,,,,,,,,"Profile E-Chain Trough Kit (Note: Only picked when needing an Offset Wall Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
10,7354,,,"Profile Max","Profile MAX Mounting Options (Choose One)",WW9026,No,,,8795.00,,,,,,,,,,,,,,,,"Profile Free Standing Frame, Powder Coated Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
11,7354,,,"Profile Max","Profile MAX Mounting Options (Choose One)",WW9025,No,,,14400.00,,,,,,,,,,,,,,,,"Profile Free Standing Frame, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
12,7354,,,"Profile Max","E-Chain Supply Options (Choose One)",WW9023,No,,,0.00,,,,,,,,,,,,,,,,"E-Chain Supply Passenger Side",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
13,7354,,,"Profile Max","E-Chain Supply Options (Choose One)",WW9024,No,,,0.00,,,,,,,,,,,,,,,,"E-Chain Supply Driver Side",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
14,7354,,,"Profile Max","Washbay VS2 Sensor Mounting Options (Choose One)",WW9400,No,,,0.00,,,,,,,,,,,,,,,,"Washbay Stop/Backup Loading Eye Wall Mounting Kit-For Standard Bays ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
15,7354,,,"Profile Max","Washbay VS2 Sensor Mounting Options (Choose One)",WW9402,No,,,0.00,,,,,,,,,,,,,,,,"Washbay Stop/Backup Loading Eye Pedestal Mounting Kit-Free Standing Frame or Non-Standard Bays ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
16,7354,,,"Profile Max","Profile Wash System (240 VAC 3 Phase 60 Hz)",WW9205,No,,,739.00,,,,,,,,,,,,,,,,"Profile UCC Power Conversion Kit (Converts Standard UCC for use with 240 VAC 3 Phaze 60 Hz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
17,7354,,,"Profile Max","Cloth Color Options (Blue Top and Side Wash Media are Standard)",WW9300,No,,,0.00,,,,,,,,,,,,,,,,"Blue Top Super Soft Polyethylene Wash Media (Standard)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
18,7354,,,"Profile Max","Cloth Color Options (Blue Top and Side Wash Media are Standard)",WW9305,No,,,0.00,,,,,,,,,,,,,,,,"Blue Side Super Soft Polyethylene Wash Media (Standard)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
19,7354,,,"Profile Max","Cloth Color Options (Blue Top and Side Wash Media are Standard)",WW9301,No,,,595.00,,,,,,,,,,,,,,,,"Red Top Super Soft Polyethylene Wash Media (Requires 6 Week Lead Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
20,7354,,,"Profile Max","Cloth Color Options (Blue Top and Side Wash Media are Standard)",WW9302,No,,,595.00,,,,,,,,,,,,,,,,"Green Top Super Soft Polyethylene Wash Media (Requires 6 Week Lead Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
21,7354,,,"Profile Max","Cloth Color Options (Blue Top and Side Wash Media are Standard)",WW9303,No,,,595.00,,,,,,,,,,,,,,,,"Black Top Super Soft Polyethylene Wash Media (Requires 6 Week Lead Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
22,7354,,,"Profile Max","Cloth Color Options (Blue Top and Side Wash Media are Standard)",WW9306,No,,,595.00,,,,,,,,,,,,,,,,"Red Side Super Soft Polyethylene Wash Media (Requires 6 Week Lead Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
23,7354,,,"Profile Max","Cloth Color Options (Blue Top and Side Wash Media are Standard)",WW9307,No,,,595.00,,,,,,,,,,,,,,,,"Green Side Super Soft Polyethylene Wash Media (Requires 6 Week Lead Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
24,7354,,,"Profile Max","Cloth Color Options (Blue Top and Side Wash Media are Standard)",WW9308,No,,,595.00,,,,,,,,,,,,,,,,"Black Side Super Soft Polyethylene Wash Media (Requires 6 Week Lead Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
25,7354,,,"Profile Max","Undercarriage Wash Manifold Options",WW9161,No,,,1185.00,,,,,,,,,,,,,,,,"High Pressure 3 hole manifold w/ Rocker Panel Blasters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
26,7354,,,"Profile Max","Undercarriage Wash Manifold Options",WW9162,No,,,2495.00,,,,,,,,,,,,,,,,"High Pressure 3 Hole Manifold w/6 Hole Power Tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
27,7354,,,"Profile Max","Low Pressure Functions",WW9100,No,,,4395.00,,,,,,,,,,,,,,,,"Tri Color Foam System (Both Entrance and Exit Application System)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
28,7354,,,"Profile Max","Low Pressure Functions"," WW9115",No,,,1385.00,,,,,,,,,,,,,,,,"Medium Pressure RO Pump (13 GPM  @ 110 psi) Inc. Control Valve Wall Mount Bracket and Starter ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
29,7354,,,"Profile Max","Low Pressure Functions",WW9110,No,,,3495.00,,,,,,,,,,,,,,,,"Profile Foam N Flow (Requires Medium Pressure RO Pump, P/N WW9115)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
30,7354,,,"Profile Max","High Pressure Functions",WW9165,No,,,795.00,,,,,,,,,,,,,,,,"Reclaim Option  (Plumbing Inlet, Check Valve and Controls for External Reclaim System)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
31,7354,,,"Profile Max","High Pressure Functions",WW9155,No,,,19995.00,,,,,,,,,,,,,,,,"Power Wheel Detailer&#153; / Touchless  (Note: Includes Tire Chemical Application)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
32,7354,,,"Profile Max","High Pressure Functions",WW9156,No,,,19995.00,,,,,,,,,,,,,,,,"Power Wheel Detailer&#153; / Touch  (Note: Includes Tire Chemical Application)  not available w/ OBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
33,7354,,,"Profile Max","Washview HMI Remote Connectivity ",WW9206,No,,,1085.00,,,,,,,,,,,,,,,,"Washview HMI Remote Primary-High Speed DSL or Cable Internet Connection Capability, Includes Wireless Router and HMI Software.  NOTE: Smart Phone/Tablet Connection Requires Vijeo Design Air App Purchase (Not Included).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
34,7354,,,"Profile Max","Washview HMI Remote Connectivity ",WW9207,No,,,785.00,,,,,,,,,,,,,,,,"Washview HMI Remote Secondary- Additional High Speed DSL or Cable Internet Connection Capability at the Same Location for Multi-Bay Sites.  NOTE: Smart Phone/Tablet Connection Requires Vijeo Design Air App Purchase (Not Included).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
35,7354,,,"Profile Max","Door Control Options ","WW 9130",No,,,1795.00,,,,,,,,,,,,,,,,"Premium Door Controls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
36,7354,,,"Profile Max","Door Control Options ","WW 9131",No,,,2895.00,,,,,,,,,,,,,,,,"Ultimate Door Controls-Eyes (Features Above-Ground Eyes for Existing Sites)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
37,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9230",No,,,935.00,,,,,,,,,,,,,,,,"Entrance Stop/Drive Forward Sign ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
38,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9231",No,,,1195.00,,,,,,,,,,,,,,,,"Entrance Stop/Drive Forward / Wash Progress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
39,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9232",No,,,1095.00,,,,,,,,,,,,,,,,"Entrance Stop/Drive Forward / Back-Up Sign ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
40,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9233",No,,,1135.00,,,,,,,,,,,,,,,,"Entrance Stop/Drive Forward Sign (Custom Verbiage / Graphics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
41,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9234",No,,,1395.00,,,,,,,,,,,,,,,,"Entrance Stop/Drive Forward / Wash Progress (Custom Verbiage / Graphics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
42,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9235",No,,,1295.00,,,,,,,,,,,,,,,,"Entrance Stop/Drive Forward/Back-Up Sign (Custom Verbiage / Graphics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
43,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9236",No,,,1405.00,,,,,,,,,,,,,,,,"In Bay 8-Panel Directional Sign (Standard)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
44,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9237",No,,,1405.00,,,,,,,,,,,,,,,,"In Bay 8-Panel Directional Sign W/ Triple Foam ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
45,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9238",No,,,1605.00,,,,,,,,,,,,,,,,"In Bay 8-Panel Directional Sign  (Custom Verbiage / Graphics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
46,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9240",No,,,2075.00,,,,,,,,,,,,,,,,"Sign Package, Entrance Stop/Drive Forward and Inbay 8-Panel Directional (Standard)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
47,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9241",No,,,2075.00,,,,,,,,,,,,,,,,"Sign Package, Entrance Stop/Drive Forward and Inbay 8-Panel Directional (W/ Triple Foam) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
48,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9242",No,,,2275.00,,,,,,,,,,,,,,,,"Sign Package, Entrance Stop/Drive Forward and Inbay 8-Panel Directional (Custom Verbiage / Graphics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
49,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9243",No,,,2275.00,,,,,,,,,,,,,,,,"Sign Package, Entrance Stop/Drive Forward/Wash Progress and Inbay 8-Panel Directional (Standard)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
50,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9244",No,,,2275.00,,,,,,,,,,,,,,,,"Sign Package, Entrance Stop/Drive Forward/Wash Progress and Inbay 8-Panel Directional (W/ Triple Foam) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
51,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""","WW 9245",No,,,2475.00,,,,,,,,,,,,,,,,"Sign Package, Entrance Stop/Drive Forward/Wash Progress and Inbay 8-Panel Directional (Custom) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
52,7354,,,"Profile Max","Signage-(12V) LED Instructional ""Entrance and In-Bay Signs are Required to Operate""",WW20047-LED,No,,,2475.00,,,,,,,,,,,,,,,,"Wash Bay LED Guide Lighting (Floor Mounted Pair) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
53,7354,,,"Profile Max","Signage-(24V) LED Instructional ","WW 20030-LED",No,,,1295.00,,,,,,,,,,,,,,,,"Entrance Stop/Drive Forward Sign (Entirely LED) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
54,7354,,,"Profile Max","Signage-(24V) LED Instructional ","WW 20008-LED",No,,,2495.00,,,,,,,,,,,,,,,,"In Bay 8-Panel Directional Sign (Entirely LED) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
55,7354,,,"Profile Max","Signage-(24V) LED Instructional ","WW 20008-LEDTF",No,,,2495.00,,,,,,,,,,,,,,,,"In Bay 8-Panel Directional Sign W/ Triple Foam (Entirely LED) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
56,7354,,,"Profile Max","Signage-(24V) LED Instructional ","WW 20012-LED",No,,,1395.00,,,,,,,,,,,,,,,,"LED Count Down Timer With Stand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
57,7354,,,"Profile Max","Signage-(24V) LED Instructional ","WW 20012-LED-WM",No,,,1295.00,,,,,,,,,,,,,,,,"LED Count Down Timer With 30"" Wall Mount Brackets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
58,7354,,,"Profile Max","Signage - Clearance - Guidance ","WW 058",No,,,195.00,,,,,,,,,,,,,,,,"Hanging Clearance Sign(5' Long Round PVC) Includes SS Cable and Mounting Hardware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
59,7354,,,"Profile Max","Signage - Clearance - Guidance ","WW 057-C",No,,,235.00,,,,,,,,,,,,,,,,"Hanging Clearance Sign - Custom (5' Long Round PVC) Includes SS Cable and Mounting Hardware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
60,7354,,,"Profile Max","Signage - Clearance - Guidance ","WW 20000-PRSTD",No,,,1295.00,,,,,,,,,,,,,,,,"Ground Mount Clearance Stand (White Powder Coated), Includes Clearance Sign",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
61,7354,,,"Profile Max","Signage - Clearance - Guidance ","WW 20000-C",No,,,1335.00,,,,,,,,,,,,,,,,"Ground Mount Clearance Stand (White Powder Coated), Includes Custom Clearance Sign",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
62,7354,,,"Profile Max","Signage - Clearance - Guidance ","WW 20046",No,,,250.00,,,,,,,,,,,,,,,,"Washbay Reflector Kit-BLUE (Includes: (24) 2-Sided Reflectors, Adhesive and Applicator)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
63,7354,,,"Profile Max","30 HP High Velocity Fixed Dryers - (3) 10 HP Motors","WW 20069-IWM",No,,,8995.00,,,,,,,,,,,,,,,,"30 HP with All Stationary Nozzles (Inc. Interior Wall Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
64,7354,,,"Profile Max","30 HP High Velocity Fixed Dryers - (3) 10 HP Motors","WW 20069-EWM",No,,,8995.00,,,,,,,,,,,,,,,,"30 HP with All Stationary Nozzles (Inc. Exterior Wall Mount) Provide Door Opening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
65,7354,,,"Profile Max","30 HP High Velocity Fixed Dryers - (3) 10 HP Motors","WW 20069-ILM",No,,,8995.00,,,,,,,,,,,,,,,,"30 HP with All Stationary Nozzles (Inc. Interior Leg Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
66,7354,,,"Profile Max","30 HP High Velocity Fixed Dryers - (4) 7.5 HP Motors","WW 20068-IWM",No,,,11395.00,,,,,,,,,,,,,,,,"30 HP with All Stationary Nozzles (Inc. Interior Wall Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
67,7354,,,"Profile Max","30 HP High Velocity Fixed Dryers - (4) 7.5 HP Motors","WW 20068-EWM",No,,,11395.00,,,,,,,,,,,,,,,,"30 HP with All Stationary Nozzles (Inc. Exterior Wall Mount) Provide Door Opening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
68,7354,,,"Profile Max","30 HP High Velocity Fixed Dryers - (4) 7.5 HP Motors","WW 20068-ILM",No,,,11395.00,,,,,,,,,,,,,,,,"30 HP with All Stationary Nozzles (Inc. Interior Leg Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
69,7354,,,"Profile Max","45 HP High Velocity Fixed Dryers - (3) 15 HP Motors","WW 20071-IWM",No,,,9595.00,,,,,,,,,,,,,,,,"45 HP with All Stationary Nozzles (Inc. Interior Wall Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
70,7354,,,"Profile Max","45 HP High Velocity Fixed Dryers - (3) 15 HP Motors","WW 20071-EWM",No,,,9595.00,,,,,,,,,,,,,,,,"45 HP with All Stationary Nozzles (Inc. Exterior Wall Mount) Provide Door Opening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
71,7354,,,"Profile Max","45 HP High Velocity Fixed Dryers - (3) 15 HP Motors","WW 20071-ILM",No,,,9595.00,,,,,,,,,,,,,,,,"45 HP with All Stationary Nozzles (Inc. Interior Leg Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
72,7354,,,"Profile Max","40 HP High Velocity Fixed Dryers - (4) 10 HP Motors","WW 20073-IWM",No,,,11895.00,,,,,,,,,,,,,,,,"40 HP with All Stationary Nozzles (Inc. Interior Wall Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
73,7354,,,"Profile Max","40 HP High Velocity Fixed Dryers - (4) 10 HP Motors","WW 20073-EWM",No,,,11895.00,,,,,,,,,,,,,,,,"40 HP with All Stationary Nozzles (Inc. Exterior Wall Mount) Provide Door Opening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
74,7354,,,"Profile Max","40 HP High Velocity Fixed Dryers - (4) 10 HP Motors","WW 20073-ILM",No,,,11895.00,,,,,,,,,,,,,,,,"40 HP with All Stationary Nozzles (Inc. Interior Leg Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
75,7354,,,"Profile Max","50 HP High Velocity Fixed Dryers - (2) 10 HP Motors (2) 15 HP Motors","WW 20074-IWM",No,,,12710.00,,,,,,,,,,,,,,,,"49 HP with All Stationary Nozzles (Inc. Interior Wall Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
76,0,,,"Profile Max",,,,,0.00,0.00,0.00,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0000-00-00,,,,,0,0,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,0,,,,,
77,7354,,,"Profile Max","50 HP High Velocity Fixed Dryers - (2) 10 HP Motors (2) 15 HP Motors","WW 20074-ILM",No,,,12710.00,,,,,,,,,,,,,,,,"50 HP with All Stationary Nozzles (Inc. Interior Leg Mount)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
78,7354,,,"Profile Max","High Velocity Dryer Options and Image Packages","WW 20005-ET",No,,,1850.00,,,,,,,,,,,,,,,,"Elephant Trunk Side Nozzle (Pair)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
79,7354,,,"Profile Max","High Velocity Dryer Options and Image Packages","WW 20005-ETB",No,,,400.00,,,,,,,,,,,,,,,,"Elephant Trunk Brackets (Pair)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
80,7354,,,"Profile Max","High Velocity Dryer Options and Image Packages","WW 20019-DRYER",No,,,2095.00,,,,,,,,,,,,,,,,"Dryer Image Package",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
81,7354,,,"Profile Max","High Velocity Dryer Options and Image Packages","WW 20019-PREMIWM ",No,,,2995.00,,,,,,,,,,,,,,,,"Premium Dryer Image Package - Wall Mount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
82,7354,,,"Profile Max","High Velocity Dryer Options and Image Packages","WW 20019-EWM",No,,,1125.00,,,,,,,,,,,,,,,,"Dryer Image Package-Exterior Wall Mount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
